Copyright (c) James G. MacKinnon, 1999
ecmnc     1  1  6   20
-0.44831649E+01-0.17616219E+02-0.60059684E-01 0.33755149E-02
-0.20902673E+01 0.13560231E+01-0.27047734E-02 0.14369051E-03
-0.20792148E+01 0.13793543E+01-0.27319220E-02 0.14467327E-03
-0.20681619E+01 0.14018052E+01-0.27509109E-02 0.14501510E-03
-0.20571647E+01 0.14256788E+01-0.28124616E-02 0.14507855E-03
-0.20461906E+01 0.14468182E+01-0.28290312E-02 0.14565282E-03
-0.20352568E+01 0.14699375E+01-0.28687378E-02 0.14412634E-03
-0.20243574E+01 0.14934518E+01-0.29169583E-02 0.14496796E-03
-0.20134828E+01 0.15160829E+01-0.29694040E-02 0.14549218E-03
-0.20026681E+01 0.15418364E+01-0.30695144E-02 0.14613199E-03
-0.19918236E+01 0.15635159E+01-0.31180356E-02 0.14498374E-03
-0.19809966E+01 0.15836141E+01-0.31585777E-02 0.14523452E-03
-0.19701819E+01 0.16036788E+01-0.31808730E-02 0.14368976E-03
-0.19593786E+01 0.16228563E+01-0.31956201E-02 0.14446636E-03
-0.19486053E+01 0.16421799E+01-0.32186056E-02 0.14448368E-03
-0.19378298E+01 0.16609923E+01-0.32362498E-02 0.14474000E-03
-0.19270646E+01 0.16799099E+01-0.32512559E-02 0.14506486E-03
-0.19163347E+01 0.17003088E+01-0.32938627E-02 0.14636466E-03
-0.19055762E+01 0.17181097E+01-0.33284172E-02 0.14536783E-03
-0.18948148E+01 0.17354297E+01-0.33333680E-02 0.14432294E-03
-0.18840814E+01 0.17547393E+01-0.33753792E-02 0.14452298E-03
-0.18733378E+01 0.17741574E+01-0.34426892E-02 0.14414880E-03
-0.18626269E+01 0.17949290E+01-0.35059885E-02 0.14606191E-03
-0.18518936E+01 0.18147470E+01-0.35581689E-02 0.14670185E-03
-0.18411474E+01 0.18315396E+01-0.35575789E-02 0.14685960E-03
-0.18304188E+01 0.18491464E+01-0.35765254E-02 0.14546839E-03
-0.18196268E+01 0.18664029E+01-0.36220212E-02 0.14586789E-03
-0.18088767E+01 0.18852677E+01-0.36677262E-02 0.14588951E-03
-0.17980987E+01 0.19038230E+01-0.37228079E-02 0.14544621E-03
-0.17872812E+01 0.19184754E+01-0.37212242E-02 0.14744012E-03
-0.17764435E+01 0.19346926E+01-0.37506926E-02 0.14681959E-03
-0.17655856E+01 0.19503388E+01-0.37561312E-02 0.14555101E-03
-0.17547302E+01 0.19669646E+01-0.37736746E-02 0.14449486E-03
-0.17438364E+01 0.19832094E+01-0.38265772E-02 0.14488078E-03
-0.17328950E+01 0.19961244E+01-0.37968435E-02 0.14537285E-03
-0.17219333E+01 0.20083768E+01-0.37556517E-02 0.14776096E-03
-0.17109917E+01 0.20324701E+01-0.39395587E-02 0.14786914E-03
-0.16999919E+01 0.20506851E+01-0.40134116E-02 0.14739669E-03
-0.16889313E+01 0.20651934E+01-0.40230926E-02 0.14627102E-03
-0.16778620E+01 0.20826045E+01-0.40868285E-02 0.14669971E-03
-0.16667475E+01 0.20949033E+01-0.40598805E-02 0.14733912E-03
-0.16556038E+01 0.21124413E+01-0.41234968E-02 0.14741120E-03
-0.16443986E+01 0.21246827E+01-0.40830141E-02 0.14849843E-03
-0.16331236E+01 0.21369862E+01-0.40565968E-02 0.14898983E-03
-0.16218223E+01 0.21495304E+01-0.40148180E-02 0.14886002E-03
-0.16104574E+01 0.21646202E+01-0.40545328E-02 0.14801291E-03
-0.15990746E+01 0.21802926E+01-0.41028892E-02 0.14703962E-03
-0.15876086E+01 0.21935773E+01-0.41177855E-02 0.14745246E-03
-0.15760407E+01 0.22052112E+01-0.41111999E-02 0.14707057E-03
-0.15644831E+01 0.22215086E+01-0.41800064E-02 0.14787663E-03
-0.15528521E+01 0.22363187E+01-0.41899288E-02 0.14773515E-03
-0.15411329E+01 0.22480261E+01-0.41714294E-02 0.14681520E-03
