Copyright (c) James G. MacKinnon, 1999
ecmnc     8  8  7   30
-0.63270879E+01-0.32811367E+02-0.40944769E-01-0.76196448E-02 0.42247384E-02
-0.61627484E+01-0.28838278E+02-0.33461094E-01-0.52161817E-02 0.31813335E-02
-0.59402759E+01-0.23233156E+02-0.28194965E-01-0.34477159E-02 0.20750464E-02
-0.57575726E+01-0.19556091E+02-0.11988349E-01-0.35972703E-02 0.15332368E-02
-0.55651432E+01-0.16010338E+02 0.47450723E-02-0.37116840E-02 0.10679249E-02
-0.54471641E+01-0.13699060E+02 0.16856080E-02-0.29023973E-02 0.88496917E-03
-0.53599654E+01-0.12155512E+02 0.16978444E-02-0.26165048E-02 0.77632986E-03
-0.52906620E+01-0.10889330E+02-0.13898161E-02-0.20385343E-02 0.72723761E-03
-0.52329291E+01-0.98525308E+01-0.37477181E-02-0.17073676E-02 0.69231440E-03
-0.51832145E+01-0.89740640E+01-0.67343693E-02-0.13120781E-02 0.65764501E-03
-0.51390867E+01-0.82834121E+01-0.66583084E-02-0.12070940E-02 0.63396772E-03
-0.50993147E+01-0.76945782E+01-0.56127757E-02-0.13079926E-02 0.62438496E-03
-0.50634605E+01-0.71261475E+01-0.67506342E-02-0.11503905E-02 0.61600020E-03
-0.49206793E+01-0.49943888E+01-0.10616472E-01-0.65359695E-03 0.51306035E-03
-0.48140822E+01-0.34733234E+01-0.14745705E-01-0.20614167E-03 0.46666378E-03
-0.47278242E+01-0.23598885E+01-0.14812543E-01-0.24919254E-03 0.44341750E-03
-0.46548336E+01-0.15139264E+01-0.13482042E-01-0.39686726E-03 0.41297209E-03
-0.45911980E+01-0.72353996E+00-0.16390059E-01-0.13061402E-03 0.39181218E-03
-0.23637041E+01 0.13263097E+02-0.79702504E-01 0.27710646E-02 0.20915564E-03
-0.23489960E+01 0.13289796E+02-0.79905083E-01 0.27811061E-02 0.20810555E-03
-0.23341903E+01 0.13318667E+02-0.80235033E-01 0.28019902E-02 0.20841222E-03
-0.23192856E+01 0.13355930E+02-0.80885723E-01 0.28506794E-02 0.20999721E-03
-0.23041730E+01 0.13375938E+02-0.80873104E-01 0.28387570E-02 0.20956907E-03
-0.22889580E+01 0.13401677E+02-0.81027535E-01 0.28396328E-02 0.21131183E-03
-0.22736167E+01 0.13430798E+02-0.81360786E-01 0.28560070E-02 0.21051905E-03
-0.22581500E+01 0.13461868E+02-0.81882329E-01 0.28961209E-02 0.20965498E-03
-0.22425333E+01 0.13484852E+02-0.81986395E-01 0.28932890E-02 0.21221064E-03
-0.22267370E+01 0.13514659E+02-0.82435643E-01 0.29276206E-02 0.21360094E-03
-0.22107007E+01 0.13535596E+02-0.82499272E-01 0.29202078E-02 0.21379422E-03
-0.21945690E+01 0.13561861E+02-0.82752034E-01 0.29294990E-02 0.21818611E-03
-0.21782146E+01 0.13584458E+02-0.82891147E-01 0.29319921E-02 0.22172756E-03
-0.21616501E+01 0.13604222E+02-0.83051619E-01 0.29395989E-02 0.22439155E-03
-0.21449594E+01 0.13628459E+02-0.83278576E-01 0.29506748E-02 0.22477295E-03
-0.21280620E+01 0.13652469E+02-0.83537743E-01 0.29662244E-02 0.22759295E-03
-0.21109035E+01 0.13669849E+02-0.83547436E-01 0.29582209E-02 0.22450296E-03
-0.20936188E+01 0.13697503E+02-0.83878246E-01 0.29784627E-02 0.22565391E-03
-0.20760074E+01 0.13708076E+02-0.83705041E-01 0.29563683E-02 0.22487621E-03
-0.20581639E+01 0.13726914E+02-0.83804315E-01 0.29548502E-02 0.22503944E-03
-0.20400193E+01 0.13734797E+02-0.83454061E-01 0.29122904E-02 0.22714938E-03
-0.20217149E+01 0.13755191E+02-0.83599631E-01 0.29156856E-02 0.22923170E-03
-0.20030185E+01 0.13761117E+02-0.83357079E-01 0.28875804E-02 0.22806213E-03
-0.19840459E+01 0.13778819E+02-0.83473672E-01 0.28872485E-02 0.22847392E-03
-0.19648236E+01 0.13795218E+02-0.83602823E-01 0.28938847E-02 0.22681488E-03
-0.19452678E+01 0.13818003E+02-0.83991439E-01 0.29214726E-02 0.23350530E-03
-0.19252985E+01 0.13828008E+02-0.83916026E-01 0.29081742E-02 0.23455180E-03
-0.19049780E+01 0.13835402E+02-0.83722576E-01 0.28843787E-02 0.23709705E-03
-0.18842953E+01 0.13851047E+02-0.83877807E-01 0.28924001E-02 0.24197630E-03
-0.18632745E+01 0.13874053E+02-0.84283031E-01 0.29224125E-02 0.24479278E-03
-0.18416344E+01 0.13873153E+02-0.84039256E-01 0.29018835E-02 0.24538823E-03
-0.18196144E+01 0.13885763E+02-0.84253790E-01 0.29174109E-02 0.24750254E-03
-0.17971276E+01 0.13886640E+02-0.83909886E-01 0.28829559E-02 0.25601825E-03
-0.17740378E+01 0.13884029E+02-0.83573407E-01 0.28557659E-02 0.26004908E-03
-0.17505931E+01 0.13909266E+02-0.84106393E-01 0.28951740E-02 0.26257207E-03
-0.17263546E+01 0.13903579E+02-0.83691271E-01 0.28570746E-02 0.26640896E-03
-0.17016302E+01 0.13920155E+02-0.83936220E-01 0.28725754E-02 0.27395871E-03
-0.16762443E+01 0.13930093E+02-0.84029334E-01 0.28760099E-02 0.27663859E-03
-0.16500435E+01 0.13947980E+02-0.84620586E-01 0.29269477E-02 0.27698051E-03
-0.16229903E+01 0.13940588E+02-0.84271867E-01 0.28951092E-02 0.28182167E-03
-0.15951945E+01 0.13947425E+02-0.84371908E-01 0.29034404E-02 0.28372069E-03
-0.15664524E+01 0.13944681E+02-0.84121015E-01 0.28751204E-02 0.28431820E-03
-0.15367168E+01 0.13944956E+02-0.83886379E-01 0.28494102E-02 0.29049410E-03
-0.15057220E+01 0.13927854E+02-0.83336062E-01 0.28094041E-02 0.29817818E-03
-0.14736162E+01 0.13925028E+02-0.83170524E-01 0.27962192E-02 0.30327038E-03
-0.14402083E+01 0.13938934E+02-0.83715516E-01 0.28441370E-02 0.30853248E-03
-0.14053236E+01 0.13932127E+02-0.83605363E-01 0.28435751E-02 0.31591559E-03
-0.13687969E+01 0.13936832E+02-0.84079857E-01 0.28921489E-02 0.32144960E-03
-0.13303478E+01 0.13921586E+02-0.83613056E-01 0.28541404E-02 0.32847455E-03
-0.12896475E+01 0.13907857E+02-0.83770942E-01 0.28924185E-02 0.33582045E-03
-0.12468183E+01 0.13901868E+02-0.83842767E-01 0.29124609E-02 0.34159861E-03
-0.12010824E+01 0.13870484E+02-0.83363291E-01 0.29019467E-02 0.35217579E-03
-0.11520010E+01 0.13827153E+02-0.82298246E-01 0.28237082E-02 0.36732740E-03
-0.10991577E+01 0.13792916E+02-0.82065948E-01 0.28446279E-02 0.37981954E-03
-0.10416370E+01 0.13736194E+02-0.80753697E-01 0.27454111E-02 0.39296743E-03
-0.97855848E+00 0.13677357E+02-0.79975380E-01 0.27297242E-02 0.41824182E-03
-0.90867690E+00 0.13653964E+02-0.79849596E-01 0.27371210E-02 0.42337541E-03
-0.82941279E+00 0.13555610E+02-0.77743390E-01 0.25975279E-02 0.45495703E-03
-0.73808744E+00 0.13501044E+02-0.77783118E-01 0.26884016E-02 0.48880162E-03
-0.62914727E+00 0.13374160E+02-0.75692674E-01 0.26093490E-02 0.53967964E-03
-0.49298764E+00 0.13218326E+02-0.73205542E-01 0.25366072E-02 0.61587177E-03
-0.30933932E+00 0.13041031E+02-0.71326653E-01 0.26178202E-02 0.68886949E-03
-0.26268223E+00 0.13007274E+02-0.71257698E-01 0.26699243E-02 0.69983585E-03
-0.21144987E+00 0.12977145E+02-0.70866502E-01 0.26790479E-02 0.73266071E-03
-0.15385909E+00 0.12905043E+02-0.70376405E-01 0.27693577E-02 0.80000803E-03
-0.88555021E-01 0.12853066E+02-0.69287186E-01 0.27537852E-02 0.84501652E-03
-0.12021328E-01 0.12764075E+02-0.67893834E-01 0.27480486E-02 0.90735992E-03
 0.79882484E-01 0.12609829E+02-0.63772286E-01 0.25079964E-02 0.10121950E-02
 0.19616589E+00 0.12372894E+02-0.56023705E-01 0.19955315E-02 0.11191784E-02
 0.35337181E+00 0.12271155E+02-0.54124026E-01 0.21684527E-02 0.13643702E-02
 0.61144099E+00 0.12249550E+02-0.55104293E-01 0.29291381E-02 0.18163100E-02
 0.85968914E+00 0.11826872E+02-0.38723669E-01 0.23082743E-02 0.27020966E-02
 0.11720571E+01 0.11310198E+02-0.17734537E-01 0.14450188E-02 0.39609849E-02
 0.13970037E+01 0.10739029E+02 0.13402773E-01-0.64029383E-03 0.50309297E-02
ecmc      8  9  5   35
-0.65896758E+01-0.37264271E+02-0.12776041E+00-0.13954850E+00 0.49799433E-02
-0.64309211E+01-0.31982601E+02-0.14865408E+00-0.10868249E+00 0.36691384E-02
-0.62039412E+01-0.26994095E+02-0.77306784E-01-0.87263822E-01 0.24631629E-02
-0.60257914E+01-0.22112472E+02-0.94599963E-01-0.64730509E-01 0.19546214E-02
-0.58356996E+01-0.18425578E+02-0.28773726E-01-0.60089518E-01 0.14564937E-02
-0.57189153E+01-0.15957551E+02-0.22521554E-01-0.51863228E-01 0.12278110E-02
-0.56344535E+01-0.13977122E+02-0.31646253E-01-0.43749198E-01 0.10169313E-02
-0.55663566E+01-0.12606344E+02-0.28541676E-01-0.39488834E-01 0.90626541E-03
-0.55093357E+01-0.11548527E+02-0.20513413E-01-0.37495774E-01 0.80357048E-03
-0.54599698E+01-0.10615688E+02-0.20026247E-01-0.34380950E-01 0.78815176E-03
-0.54163434E+01-0.99276546E+01-0.80502426E-02-0.34047349E-01 0.77216752E-03
-0.53777205E+01-0.90854337E+01-0.18599237E-01-0.29606742E-01 0.73537473E-03
-0.53425955E+01-0.84809464E+01-0.13875647E-01-0.28851371E-01 0.70169996E-03
-0.52029453E+01-0.58785265E+01-0.19622172E-01-0.21194994E-01 0.64777375E-03
-0.50982981E+01-0.41657847E+01-0.16677057E-01-0.17295741E-01 0.57594815E-03
-0.50137297E+01-0.28698900E+01-0.11340024E-01-0.15343829E-01 0.53006756E-03
-0.49420514E+01-0.18825577E+01-0.45979645E-02-0.13973930E-01 0.47742290E-03
-0.48798491E+01-0.99731946E+00 0.28268977E-04-0.13082792E-01 0.45946027E-03
-0.48244864E+01-0.21515719E+00 0.20644488E-02-0.11917770E-01 0.42984331E-03
-0.47742476E+01 0.42377431E+00 0.70826403E-02-0.11436177E-01 0.40457217E-03
-0.47283551E+01 0.10465768E+01 0.69718206E-02-0.10312591E-01 0.38592166E-03
-0.46861096E+01 0.15868120E+01 0.93474109E-02-0.96995629E-02 0.37349481E-03
-0.46467199E+01 0.21079445E+01 0.85518694E-02-0.85650121E-02 0.36583877E-03
-0.46097781E+01 0.25825877E+01 0.96494786E-02-0.81107674E-02 0.36072120E-03
-0.45750204E+01 0.30617882E+01 0.61104332E-02-0.66702461E-02 0.34753688E-03
-0.45419316E+01 0.34688912E+01 0.58675410E-02-0.59467113E-02 0.33040740E-03
