Copyright (C) James G. MacKinnon, 1995
conc      6  7  3   25
 -.37504021D+01 -.63053333D+01  .12751617D+02 -.10436928D+03  .22328616D-03
 -.37404067D+01 -.61952605D+01  .11245684D+02 -.83946959D+02  .22275561D-03
 -.37303140D+01 -.61327376D+01  .12135022D+02 -.96669872D+02  .22643008D-03
 -.37203505D+01 -.60561473D+01  .12385318D+02 -.10110851D+03  .22514425D-03
 -.37104568D+01 -.59705490D+01  .11919109D+02 -.93591604D+02  .22584658D-03
 -.37005641D+01 -.59074730D+01  .12745387D+02 -.10573831D+03  .22669844D-03
 -.36907997D+01 -.58081611D+01  .11395312D+02 -.84767556D+02  .22631828D-03
 -.36810459D+01 -.57397189D+01  .12027853D+02 -.96391806D+02  .22435836D-03
 -.36713079D+01 -.56659141D+01  .11979194D+02 -.93330299D+02  .22344857D-03
 -.36616499D+01 -.55875396D+01  .11874862D+02 -.93417312D+02  .22439630D-03
 -.36520228D+01 -.55044221D+01  .11029819D+02 -.77381571D+02  .22238407D-03
 -.36423908D+01 -.54454315D+01  .11944193D+02 -.92413583D+02  .21831174D-03
 -.36328611D+01 -.53696987D+01  .11511479D+02 -.82168404D+02  .21618978D-03
 -.36233579D+01 -.52930620D+01  .11196375D+02 -.76681725D+02  .21695020D-03
 -.36138658D+01 -.52305882D+01  .11872020D+02 -.89225677D+02  .21883262D-03
 -.36043825D+01 -.51626641D+01  .11854223D+02 -.88673041D+02  .21762540D-03
 -.35948837D+01 -.51064102D+01  .12268422D+02 -.91969634D+02  .21586492D-03
 -.35855121D+01 -.50272786D+01  .11518602D+02 -.78531805D+02  .21389990D-03
 -.35761864D+01 -.49472413D+01  .10787312D+02 -.67443709D+02  .21500762D-03
 -.35668420D+01 -.48775183D+01  .10641859D+02 -.66250320D+02  .21511607D-03
 -.35575315D+01 -.48080165D+01  .10265818D+02 -.59826589D+02  .21452324D-03
 -.35482258D+01 -.47267276D+01  .89127230D+01 -.35232300D+02  .21267545D-03
 -.35389015D+01 -.46770388D+01  .98534808D+01 -.50440558D+02  .21127725D-03
 -.35296661D+01 -.45947814D+01  .88199687D+01 -.35042225D+02  .21339255D-03
 -.35204202D+01 -.45342786D+01  .90269927D+01 -.37510976D+02  .21320109D-03
 -.35111560D+01 -.44700818D+01  .86061649D+01 -.26130196D+02  .21168652D-03
 -.35019355D+01 -.44026773D+01  .81577114D+01 -.17910462D+02  .20863909D-03
 -.34927533D+01 -.43277132D+01  .70802114D+01  .16597278D+01  .20580556D-03
 -.34834812D+01 -.42742022D+01  .75617456D+01 -.80378219D+01  .20571747D-03
 -.34742285D+01 -.42292341D+01  .83156353D+01 -.18068297D+02  .20669507D-03
 -.34650049D+01 -.41777051D+01  .87331832D+01 -.23900670D+02  .20799733D-03
 -.34558275D+01 -.41130769D+01  .83168370D+01 -.17410941D+02  .20796865D-03
 -.34466249D+01 -.40549307D+01  .81499957D+01 -.12756544D+02  .20944948D-03
 -.34374380D+01 -.40016302D+01  .85487141D+01 -.20196934D+02  .20872116D-03
 -.34282405D+01 -.39430545D+01  .85107624D+01 -.20841087D+02  .20990010D-03
 -.34190702D+01 -.38783869D+01  .80303828D+01 -.13584996D+02  .21035025D-03
 -.34098334D+01 -.38340293D+01  .85934668D+01 -.21532938D+02  .21080691D-03
 -.34006569D+01 -.37712917D+01  .81085629D+01 -.14815107D+02  .21136702D-03
 -.33914161D+01 -.37343278D+01  .92592559D+01 -.34466700D+02  .21131230D-03
 -.33821902D+01 -.36879844D+01  .98197867D+01 -.43773570D+02  .21159865D-03
 -.33730027D+01 -.36347940D+01  .99219265D+01 -.44603862D+02  .21210031D-03
 -.33638357D+01 -.35710962D+01  .95032844D+01 -.38655518D+02  .21182115D-03
 -.33546407D+01 -.35059465D+01  .86343805D+01 -.22258549D+02  .21253182D-03
 -.33453825D+01 -.34528595D+01  .86228322D+01 -.22114281D+02  .21342099D-03
 -.33361060D+01 -.34044018D+01  .88479013D+01 -.25036358D+02  .21612390D-03
 -.33268768D+01 -.33407544D+01  .83106877D+01 -.18399300D+02  .21624637D-03
 -.33175846D+01 -.32938126D+01  .87325496D+01 -.26680218D+02  .21532497D-03
 -.33082298D+01 -.32578305D+01  .96164492D+01 -.41171800D+02  .21670185D-03
