Copyright (c) James G. MacKinnon, 1999
ecmnc     6  6  7   25
-0.59363408E+01-0.30761520E+02-0.45350701E-01-0.59184858E-02 0.41072180E-02
-0.57743140E+01-0.27164512E+02-0.25087776E-01-0.56469050E-02 0.31574237E-02
-0.55480435E+01-0.22012713E+02-0.33313780E-01-0.23038532E-02 0.20641771E-02
-0.53681019E+01-0.18522885E+02-0.25663125E-01-0.17133806E-02 0.16307078E-02
-0.51766706E+01-0.15233120E+02-0.14509360E-01-0.15057168E-02 0.12156014E-02
-0.50573902E+01-0.13591476E+02-0.24181681E-02-0.19043901E-02 0.97861258E-03
-0.49709856E+01-0.12191364E+02-0.16712278E-02-0.16954120E-02 0.83771323E-03
-0.49023214E+01-0.11041417E+02-0.45322067E-02-0.12417762E-02 0.74553615E-03
-0.48444234E+01-0.10234570E+02-0.22738638E-02-0.12982613E-02 0.70603449E-03
-0.47947396E+01-0.95210590E+01-0.20425184E-02-0.12245755E-02 0.67162061E-03
-0.47507666E+01-0.89007311E+01-0.21181763E-02-0.10987871E-02 0.63778316E-03
-0.47114389E+01-0.83849504E+01-0.98118245E-03-0.11404112E-02 0.61246497E-03
-0.46757527E+01-0.79031113E+01-0.40124471E-03-0.11507459E-02 0.57812763E-03
-0.24423794E+01 0.81037843E+01-0.37580846E-01 0.10158175E-02 0.19733933E-03
-0.24296848E+01 0.81294086E+01-0.37571666E-01 0.10076302E-02 0.19930620E-03
-0.24170087E+01 0.81635973E+01-0.37861174E-01 0.10226978E-02 0.19929811E-03
-0.24042710E+01 0.81894437E+01-0.37903202E-01 0.10191856E-02 0.19897879E-03
-0.23915331E+01 0.82169047E+01-0.37994371E-01 0.10186341E-02 0.20017856E-03
-0.23787413E+01 0.82417005E+01-0.38038382E-01 0.10153610E-02 0.20172493E-03
-0.23659573E+01 0.82733072E+01-0.38273037E-01 0.10276873E-02 0.20063655E-03
-0.23530968E+01 0.82969202E+01-0.38309735E-01 0.10247964E-02 0.20200478E-03
-0.23402306E+01 0.83257989E+01-0.38589302E-01 0.10441443E-02 0.20125403E-03
-0.23272778E+01 0.83457414E+01-0.38514122E-01 0.10299605E-02 0.20156977E-03
-0.23143396E+01 0.83670908E+01-0.38419985E-01 0.10118252E-02 0.19994907E-03
-0.23013843E+01 0.83929376E+01-0.38562448E-01 0.10198514E-02 0.20099230E-03
-0.22883383E+01 0.84135890E+01-0.38522645E-01 0.10096954E-02 0.20316269E-03
-0.22752083E+01 0.84324894E+01-0.38542277E-01 0.10106020E-02 0.20307487E-03
-0.22620890E+01 0.84544089E+01-0.38496176E-01 0.99686587E-03 0.20350905E-03
-0.22489481E+01 0.84813887E+01-0.38748756E-01 0.10137672E-02 0.20045036E-03
-0.22357166E+01 0.85028406E+01-0.38844907E-01 0.10179209E-02 0.20115423E-03
-0.22225534E+01 0.85396464E+01-0.39384843E-01 0.10564189E-02 0.20049418E-03
-0.22092263E+01 0.85616907E+01-0.39457887E-01 0.10571132E-02 0.20025011E-03
-0.21958519E+01 0.85871189E+01-0.39683488E-01 0.10711108E-02 0.19957739E-03
-0.21823747E+01 0.86106049E+01-0.39845387E-01 0.10795849E-02 0.20084178E-03
-0.21688557E+01 0.86353562E+01-0.40001434E-01 0.10846375E-02 0.20228078E-03
-0.21552610E+01 0.86550324E+01-0.39976182E-01 0.10760383E-02 0.20009577E-03
-0.21416052E+01 0.86786776E+01-0.40176117E-01 0.10865359E-02 0.20004018E-03
-0.21278591E+01 0.87027962E+01-0.40390377E-01 0.10967327E-02 0.19923454E-03
-0.21140228E+01 0.87271601E+01-0.40661569E-01 0.11130085E-02 0.20168192E-03
-0.21000957E+01 0.87462421E+01-0.40820045E-01 0.11245847E-02 0.20228855E-03
-0.20860625E+01 0.87596974E+01-0.40714194E-01 0.11117182E-02 0.20150061E-03
-0.20719484E+01 0.87811383E+01-0.40869363E-01 0.11179239E-02 0.20147869E-03
-0.20578000E+01 0.88001011E+01-0.40937053E-01 0.11174440E-02 0.20084581E-03
-0.20435663E+01 0.88230681E+01-0.41148878E-01 0.11281788E-02 0.20299407E-03
-0.20291850E+01 0.88434220E+01-0.41344243E-01 0.11393267E-02 0.20254458E-03
-0.20147176E+01 0.88656828E+01-0.41619207E-01 0.11578599E-02 0.20258421E-03
-0.20001397E+01 0.88885315E+01-0.41918225E-01 0.11796375E-02 0.20476966E-03
-0.19853879E+01 0.89030544E+01-0.41967438E-01 0.11800599E-02 0.20307903E-03
-0.19705930E+01 0.89272068E+01-0.42311940E-01 0.12024071E-02 0.20403535E-03
-0.19556148E+01 0.89400026E+01-0.42331486E-01 0.12016185E-02 0.20531331E-03
-0.19404944E+01 0.89492322E+01-0.42181992E-01 0.11854487E-02 0.20680708E-03
-0.19251970E+01 0.89571019E+01-0.42020459E-01 0.11661694E-02 0.20601590E-03
-0.19098303E+01 0.89700144E+01-0.41968792E-01 0.11556750E-02 0.21035125E-03
-0.18943735E+01 0.89842529E+01-0.41956300E-01 0.11484905E-02 0.21134062E-03
-0.18787830E+01 0.90002208E+01-0.42056202E-01 0.11528746E-02 0.21359488E-03
-0.18629799E+01 0.90128656E+01-0.41965363E-01 0.11337907E-02 0.21719553E-03
-0.18470196E+01 0.90275890E+01-0.42058041E-01 0.11388248E-02 0.21648787E-03
-0.18308730E+01 0.90382851E+01-0.42003328E-01 0.11275421E-02 0.21384965E-03
-0.18145611E+01 0.90564338E+01-0.42330172E-01 0.11549865E-02 0.21584626E-03
-0.17981081E+01 0.90742239E+01-0.42543338E-01 0.11682025E-02 0.21655675E-03
-0.17813875E+01 0.90860258E+01-0.42606098E-01 0.11688274E-02 0.21977220E-03
-0.17645350E+01 0.91028166E+01-0.42780640E-01 0.11799308E-02 0.22250384E-03
-0.17474862E+01 0.91193799E+01-0.43061570E-01 0.12020741E-02 0.22553121E-03
-0.17301343E+01 0.91333089E+01-0.43230833E-01 0.12106502E-02 0.22707883E-03
-0.17126074E+01 0.91519693E+01-0.43540024E-01 0.12314683E-02 0.22843912E-03
-0.16948345E+01 0.91638727E+01-0.43651126E-01 0.12382733E-02 0.23144162E-03
-0.16767255E+01 0.91694807E+01-0.43637529E-01 0.12375588E-02 0.23333322E-03
-0.16584417E+01 0.91768478E+01-0.43571061E-01 0.12276942E-02 0.23516114E-03
-0.16398277E+01 0.91827970E+01-0.43570455E-01 0.12289027E-02 0.23560557E-03
-0.16209282E+01 0.91864639E+01-0.43401893E-01 0.12104067E-02 0.23999720E-03
-0.16017614E+01 0.91933198E+01-0.43417365E-01 0.12100915E-02 0.24108579E-03
-0.15822134E+01 0.91974912E+01-0.43403260E-01 0.12103037E-02 0.24367601E-03
-0.15624057E+01 0.92187363E+01-0.43971467E-01 0.12541014E-02 0.24691589E-03
-0.15422185E+01 0.92321906E+01-0.44292867E-01 0.12786107E-02 0.24814083E-03
-0.15217491E+01 0.92509806E+01-0.44688033E-01 0.13058812E-02 0.25024201E-03
-0.15007527E+01 0.92541068E+01-0.44611243E-01 0.12967111E-02 0.25353349E-03
-0.14793908E+01 0.92603711E+01-0.44647712E-01 0.12992506E-02 0.25452487E-03
-0.14574852E+01 0.92562572E+01-0.44429712E-01 0.12826755E-02 0.25786382E-03
-0.14352194E+01 0.92626579E+01-0.44485775E-01 0.12857071E-02 0.26140186E-03
-0.14123993E+01 0.92675286E+01-0.44489446E-01 0.12827590E-02 0.26563674E-03
-0.13891215E+01 0.92777778E+01-0.44718412E-01 0.12974558E-02 0.26348528E-03
-0.13651629E+01 0.92710735E+01-0.44425736E-01 0.12750820E-02 0.26662217E-03
-0.13405254E+01 0.92543862E+01-0.43746811E-01 0.12172583E-02 0.26910671E-03
