Copyright (c) James G. MacKinnon, 1999
ecmnc     7  7  7   30
-0.23640288E+01 0.10664457E+02-0.56601113E-01 0.18203294E-02 0.21565286E-03
-0.23504304E+01 0.10677748E+02-0.56202069E-01 0.17648279E-02 0.21620659E-03
-0.23368424E+01 0.10710966E+02-0.56655328E-01 0.18044834E-02 0.21778262E-03
-0.23230986E+01 0.10732837E+02-0.56644934E-01 0.17957767E-02 0.21997298E-03
-0.23093325E+01 0.10760270E+02-0.56865175E-01 0.18050152E-02 0.21809333E-03
-0.22954895E+01 0.10788813E+02-0.57096881E-01 0.18146157E-02 0.21670388E-03
-0.22815832E+01 0.10827537E+02-0.57798092E-01 0.18726173E-02 0.21713503E-03
-0.22675364E+01 0.10848686E+02-0.57855652E-01 0.18690814E-02 0.21871400E-03
-0.22534053E+01 0.10877381E+02-0.58215655E-01 0.18942284E-02 0.21773726E-03
-0.22391722E+01 0.10903975E+02-0.58485025E-01 0.19114779E-02 0.21731641E-03
-0.22248086E+01 0.10921051E+02-0.58506368E-01 0.19107369E-02 0.21703486E-03
-0.22103726E+01 0.10945166E+02-0.58698063E-01 0.19182256E-02 0.21862971E-03
-0.21958590E+01 0.10968249E+02-0.58747350E-01 0.19086349E-02 0.21995495E-03
-0.21812515E+01 0.10990833E+02-0.58771925E-01 0.18960981E-02 0.21951410E-03
-0.21665339E+01 0.11016201E+02-0.58924525E-01 0.18937442E-02 0.22093975E-03
-0.21516535E+01 0.11041218E+02-0.59224486E-01 0.19142365E-02 0.22233845E-03
-0.21366470E+01 0.11057422E+02-0.59139822E-01 0.18984282E-02 0.22430739E-03
-0.21215149E+01 0.11079964E+02-0.59275014E-01 0.18947529E-02 0.22274648E-03
-0.21062673E+01 0.11098437E+02-0.59281619E-01 0.18901466E-02 0.21997035E-03
-0.20908788E+01 0.11121501E+02-0.59496154E-01 0.18967702E-02 0.22233933E-03
-0.20753243E+01 0.11147025E+02-0.59808472E-01 0.19145394E-02 0.22082517E-03
-0.20596342E+01 0.11175283E+02-0.60307802E-01 0.19568615E-02 0.22443112E-03
-0.20437444E+01 0.11201933E+02-0.60898537E-01 0.20181637E-02 0.22775471E-03
-0.20276587E+01 0.11215948E+02-0.60771225E-01 0.19938532E-02 0.22777351E-03
-0.20115219E+01 0.11248788E+02-0.61363189E-01 0.20408232E-02 0.22962956E-03
-0.19951194E+01 0.11264127E+02-0.61323482E-01 0.20218092E-02 0.22873653E-03
-0.19785739E+01 0.11281627E+02-0.61406948E-01 0.20220332E-02 0.23234709E-03
-0.19618087E+01 0.11301198E+02-0.61572916E-01 0.20309546E-02 0.23317909E-03
-0.19448148E+01 0.11323729E+02-0.61978002E-01 0.20655556E-02 0.23902386E-03
-0.19276200E+01 0.11340655E+02-0.62161723E-01 0.20835388E-02 0.23711308E-03
-0.19101801E+01 0.11363127E+02-0.62584251E-01 0.21177726E-02 0.23878349E-03
-0.18925425E+01 0.11390600E+02-0.63214706E-01 0.21723130E-02 0.24132803E-03
-0.18745623E+01 0.11399235E+02-0.63121705E-01 0.21617666E-02 0.24376039E-03
-0.18563353E+01 0.11410856E+02-0.63132431E-01 0.21532287E-02 0.24500299E-03
-0.18377760E+01 0.11413286E+02-0.62935493E-01 0.21314894E-02 0.24812805E-03
-0.18190225E+01 0.11423316E+02-0.62889254E-01 0.21175961E-02 0.24939928E-03
-0.17999484E+01 0.11434122E+02-0.62821184E-01 0.20975165E-02 0.25142606E-03
-0.17805874E+01 0.11442182E+02-0.62684889E-01 0.20741074E-02 0.25026285E-03
